@relation user_behaviour-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute id numeric
@attribute user_id numeric
@attribute event_id numeric
@attribute interaction_type {browse,view,purchase,add_to_wishlist,remove_from_wishlist,view_friend_profile}
@attribute interaction_timestamp numeric
@attribute event_category_id numeric
@attribute event_location {'Manchester, UK','Edinburgh, UK','Leeds, UK','Birmingham, UK','London, UK','Bristol, UK','Warwick, UK','Coventry, UK','Northampton, UK','Liverpool, UK','Newcastle, UK','Leicester, UK','Derby, UK'}
@attribute session_length numeric
@attribute friend_id numeric
@attribute date_filter {within-1-month,this-week,within-2-weeks,today,this-month}
@attribute price_filter {between-30-and-100,under-30,over-100,free}
@attribute location_filter {Birmingham,London,'Birmingham, UK',Bristol,'Bristol, UK','London, UK',Nightlife,london,AI,Liverpool,business,'Northampton, UK','Warwick, UK',Coventry,LiverpooL}
@attribute preferred_category1 numeric
@attribute preferred_category2 numeric
@attribute preferred_category3 numeric
@attribute ticket_id numeric
@attribute user_location {Birmingham,Coventry,London,Manchester,Liverpool,'Warwick, UK','London, UK','Coventry, UK','Birmingham, UK'}

@data
1,6,19.731132,browse,1729837236655,6.334906,'Birmingham, UK',6.283,4.607143,within-1-month,between-30-and-100,London,7,1,2,45,Birmingham
2,6,19.731132,browse,1729837238503,6.334906,'Birmingham, UK',1.803,4.607143,within-1-month,between-30-and-100,London,2,7,1,45,Birmingham
3,6,10,view,1729837244743,1,'Manchester, UK',6.19,4.607143,within-1-month,under-30,London,1,2,7,45,Birmingham
4,6,10,purchase,1729837246122,1,'Manchester, UK',8.443679,4.607143,within-1-month,under-30,London,1,7,2,1,Birmingham
5,6,19.731132,browse,1729837252051,6.334906,'Birmingham, UK',2.885,4.607143,within-1-month,under-30,London,1,2,7,45,Birmingham
6,6,10,add_to_wishlist,1729837252064,1,'Manchester, UK',8.443679,4.607143,within-1-month,under-30,London,1,7,2,45,Birmingham
7,6,19.731132,browse,1729837255339,6.334906,'Birmingham, UK',3.181,4.607143,within-1-month,under-30,London,1,7,2,45,Birmingham
8,6,9,add_to_wishlist,1729837255350,4,'Edinburgh, UK',8.443679,4.607143,within-1-month,under-30,London,2,1,7,45,Birmingham
9,6,19.731132,browse,1729837256590,6.334906,'Birmingham, UK',1.131,4.607143,within-1-month,under-30,London,7,1,2,45,Birmingham
10,6,9,remove_from_wishlist,1729837256612,4,'Edinburgh, UK',8.443679,4.607143,within-1-month,under-30,London,2,1,7,45,Birmingham
11,6,19.731132,browse,1729837261678,6.334906,'Birmingham, UK',4.965,4.607143,within-1-month,under-30,London,2,1,7,45,Birmingham
12,3,19.731132,view_friend_profile,1729838499252,6.334906,'Birmingham, UK',8.443679,1,within-1-month,under-30,London,1,6,7,45,Coventry
13,3,9,add_to_wishlist,1729838514793,4,'Edinburgh, UK',8.443679,4.607143,within-1-month,under-30,London,6,7,1,45,Coventry
14,3,19.731132,browse,1729838514809,6.334906,'Birmingham, UK',2.516,4.607143,within-1-month,under-30,London,1,7,6,45,Coventry
15,3,19.731132,browse,1729838515962,6.334906,'Birmingham, UK',1.08,4.607143,within-1-month,under-30,London,6,7,1,45,Coventry
16,3,9,view,1729838518974,4,'Edinburgh, UK',2.937,4.607143,within-1-month,under-30,London,1,6,7,45,Coventry
17,3,9,purchase,1729838519826,4,'Edinburgh, UK',8.443679,4.607143,within-1-month,under-30,London,7,6,1,2,Coventry
18,3,11,view,1729838534159,6,'Leeds, UK',6.228,4.607143,within-1-month,under-30,London,7,1,6,45,Coventry
19,3,19.731132,browse,1729838540351,6.334906,'Birmingham, UK',6.126,4.607143,within-1-month,under-30,London,6,7,1,45,Coventry
20,3,19.731132,browse,1729838601362,6.334906,'Birmingham, UK',4.577,4.607143,this-week,between-30-and-100,London,6,1,7,45,Coventry
21,3,19.731132,browse,1729838606005,6.334906,'Birmingham, UK',4.566,4.607143,within-2-weeks,between-30-and-100,London,6,1,7,45,Coventry
22,3,19.731132,browse,1729838607920,6.334906,'Birmingham, UK',1.861,4.607143,within-2-weeks,under-30,London,1,6,7,45,Coventry
23,3,19.731132,browse,1729838609519,6.334906,'Birmingham, UK',1.55,4.607143,within-2-weeks,over-100,London,1,7,6,45,Coventry
24,3,19.731132,browse,1729838611698,6.334906,'Birmingham, UK',2.13,4.607143,within-1-month,over-100,London,6,7,1,45,Coventry
25,3,19.731132,browse,1729838614277,6.334906,'Birmingham, UK',2.515,4.607143,within-1-month,over-100,London,6,7,1,45,Coventry
26,3,19.731132,browse,1729838620983,6.334906,'Birmingham, UK',6.644,4.607143,within-2-weeks,over-100,London,1,7,6,45,Coventry
27,3,19.731132,browse,1729838624030,6.334906,'Birmingham, UK',3,4.607143,within-2-weeks,over-100,London,7,6,1,45,Coventry
28,5,19.731132,browse,1729838639500,6.334906,'Birmingham, UK',2.647,4.607143,within-1-month,under-30,London,4,3,5,45,Coventry
29,5,19.731132,browse,1729838640497,6.334906,'Birmingham, UK',0.959,4.607143,within-1-month,under-30,London,4,3,5,45,Coventry
30,5,13,view,1729838643402,7,'Birmingham, UK',2.859,4.607143,within-1-month,under-30,London,5,4,3,45,Coventry
31,5,13,purchase,1729838644535,7,'Birmingham, UK',8.443679,4.607143,within-1-month,under-30,London,3,5,4,3,Coventry
32,5,19.731132,browse,1729838651952,6.334906,'Birmingham, UK',2.172,4.607143,within-1-month,under-30,London,4,3,5,45,Coventry
33,5,11,add_to_wishlist,1729838651962,6,'Leeds, UK',8.443679,4.607143,within-1-month,under-30,London,4,3,5,45,Coventry
34,5,19.731132,browse,1729838654393,6.334906,'Birmingham, UK',2.334,4.607143,within-1-month,under-30,London,5,3,4,45,Coventry
35,5,11,remove_from_wishlist,1729838654417,6,'Leeds, UK',8.443679,4.607143,within-1-month,under-30,London,5,4,3,45,Coventry
36,5,19.731132,browse,1729838657433,6.334906,'Birmingham, UK',2.925,4.607143,within-1-month,under-30,London,5,3,4,45,Coventry
37,5,9,add_to_wishlist,1729838657443,4,'Edinburgh, UK',8.443679,4.607143,within-1-month,under-30,London,4,5,3,45,Coventry
38,5,19.731132,browse,1729838658687,6.334906,'Birmingham, UK',1.144,4.607143,within-1-month,under-30,London,4,5,3,45,Coventry
39,5,9,remove_from_wishlist,1729838658698,4,'Edinburgh, UK',8.443679,4.607143,within-1-month,under-30,London,5,3,4,45,Coventry
40,5,19.731132,browse,1729838661000,6.334906,'Birmingham, UK',2.207,4.607143,within-2-weeks,under-30,London,5,3,4,45,Coventry
41,5,19.731132,browse,1729838663189,6.334906,'Birmingham, UK',2.144,4.607143,within-2-weeks,over-100,London,4,5,3,45,Coventry
42,5,19.731132,browse,1729838666097,6.334906,'Birmingham, UK',2.86,4.607143,within-2-weeks,over-100,London,5,3,4,45,Coventry
43,5,19.731132,browse,1729838666672,6.334906,'Birmingham, UK',0.521,4.607143,within-2-weeks,over-100,London,3,4,5,45,Coventry
44,5,19.731132,browse,1729838670946,6.334906,'Birmingham, UK',4.189,4.607143,within-1-month,under-30,London,4,3,5,45,Coventry
45,5,19.731132,browse,1729838673451,6.334906,'Birmingham, UK',2.466,4.607143,within-1-month,under-30,London,4,3,5,45,Coventry
46,5,13,add_to_wishlist,1729838673463,7,'Birmingham, UK',8.443679,4.607143,within-1-month,under-30,London,3,5,4,45,Coventry
47,5,19.731132,browse,1729838676687,6.334906,'Birmingham, UK',3.136,4.607143,within-1-month,under-30,London,3,4,5,45,Coventry
48,1,19.731132,view_friend_profile,1729838703452,6.334906,'Birmingham, UK',8.443679,6,within-1-month,under-30,London,1,6,4,45,London
49,5,19.731132,browse,1729838897998,6.334906,'Birmingham, UK',11.709,4.607143,within-1-month,under-30,London,5,4,3,45,Coventry
50,5,19.731132,view_friend_profile,1729839327327,6.334906,'Birmingham, UK',8.443679,1,within-1-month,under-30,London,3,4,5,45,Coventry
51,8,19.731132,browse,1729840922992,6.334906,'Birmingham, UK',1.476,4.607143,within-1-month,under-30,London,1,6,2,45,Birmingham
52,8,7,view,1729840928411,1,'London, UK',5.391,4.607143,within-1-month,under-30,London,6,2,1,45,Birmingham
53,8,19.731132,browse,1729840930640,6.334906,'Birmingham, UK',2.13,4.607143,within-1-month,under-30,London,2,1,6,45,Birmingham
54,8,11,view,1729840936083,6,'Leeds, UK',5.396,4.607143,within-1-month,under-30,London,2,1,6,45,Birmingham
55,8,11,purchase,1729840937094,6,'Leeds, UK',8.443679,4.607143,within-1-month,under-30,London,1,2,6,21,Birmingham
56,8,19.731132,browse,1729840947506,6.334906,'Birmingham, UK',2.796,4.607143,within-1-month,under-30,London,6,1,2,45,Birmingham
57,8,11,add_to_wishlist,1729840947520,6,'Leeds, UK',8.443679,4.607143,within-1-month,under-30,London,2,6,1,45,Birmingham
58,8,19.731132,browse,1729840949453,6.334906,'Birmingham, UK',1.837,4.607143,within-1-month,under-30,London,6,2,1,45,Birmingham
59,8,19.731132,browse,1729840951536,6.334906,'Birmingham, UK',2.023,4.607143,within-1-month,under-30,London,6,1,2,45,Birmingham
60,8,13,add_to_wishlist,1729840951547,7,'Birmingham, UK',8.443679,4.607143,within-1-month,under-30,London,6,2,1,45,Birmingham
61,8,19.731132,browse,1729840953585,6.334906,'Birmingham, UK',1.934,4.607143,within-1-month,under-30,London,2,6,1,45,Birmingham
62,8,19.731132,browse,1729840954616,6.334906,'Birmingham, UK',0.968,4.607143,within-1-month,under-30,London,2,6,1,45,Birmingham
63,8,13,remove_from_wishlist,1729840954630,7,'Birmingham, UK',8.443679,4.607143,within-1-month,under-30,London,1,6,2,45,Birmingham
